t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1781367150,0,0.0,0.0,0.0,0.0,events/second
1781367180,0,0.0,0.0,0.0,0.0,events/second
1781367210,0,0.0,0.0,0.0,0.0,events/second
1781367240,0,0.0,0.0,0.0,0.0,events/second
1781367270,0,0.0,0.0,0.0,0.0,events/second
1781367300,0,0.0,0.0,0.0,0.0,events/second
1781367330,0,0.0,0.0,0.0,0.0,events/second
1781367360,0,0.0,0.0,0.0,0.0,events/second
1781367390,0,0.0,0.0,0.0,0.0,events/second
1781367420,0,0.0,0.0,0.0,0.0,events/second
1781367450,0,0.0,0.0,0.0,0.0,events/second
1781367480,0,0.0,0.0,0.0,0.0,events/second
1781367510,0,0.0,0.0,0.0,0.0,events/second
1781367540,0,0.0,0.0,0.0,0.0,events/second
1781367570,0,0.0,0.0,0.0,0.0,events/second
1781367600,0,0.0,0.0,0.0,0.0,events/second
1781367630,0,0.0,0.0,0.0,0.0,events/second
1781367660,0,0.0,0.0,0.0,0.0,events/second
1781367690,0,0.0,0.0,0.0,0.0,events/second
1781367720,0,0.0,0.0,0.0,0.0,events/second
1781367750,0,0.0,0.0,0.0,0.0,events/second
1781367780,0,0.0,0.0,0.0,0.0,events/second
1781367810,0,0.0,0.0,0.0,0.0,events/second
1781367840,0,0.0,0.0,0.0,0.0,events/second
1781367870,0,0.0,0.0,0.0,0.0,events/second
1781367900,0,0.0,0.0,0.0,0.0,events/second
1781367930,0,0.0,0.0,0.0,0.0,events/second
1781367960,0,0.0,0.0,0.0,0.0,events/second
1781367990,0,0.0,0.0,0.0,0.0,events/second
1781368020,0,0.0,0.0,0.0,0.0,events/second
1781368050,0,0.0,0.0,0.0,0.0,events/second
1781368080,0,0.0,0.0,0.0,0.0,events/second
1781368110,0,0.0,0.0,0.0,0.0,events/second
1781368140,0,0.0,0.0,0.0,0.0,events/second
1781368170,0,0.0,0.0,0.0,0.0,events/second
1781368200,0,0.0,0.0,0.0,0.0,events/second
1781368230,0,0.0,0.0,0.0,0.0,events/second
1781368260,0,0.0,0.0,0.0,0.0,events/second
1781368290,0,0.0,0.0,0.0,0.0,events/second
1781368320,0,0.0,0.0,0.0,0.0,events/second
1781368350,0,0.0,0.0,0.0,0.0,events/second
1781368380,0,0.0,0.0,0.0,0.0,events/second
1781368410,0,0.0,0.0,0.0,0.0,events/second
1781368440,0,0.0,0.0,0.0,0.0,events/second
1781368470,0,0.0,0.0,0.0,0.0,events/second
1781368500,0,0.0,0.0,0.0,0.0,events/second
1781368530,0,0.0,0.0,0.0,0.0,events/second
1781368560,0,0.0,0.0,0.0,0.0,events/second
1781368590,0,0.0,0.0,0.0,0.0,events/second
1781368621,0,0.0,0.0,0.0,0.0,events/second
1781368651,0,0.0,0.0,0.0,0.0,events/second
1781368681,0,0.0,0.0,0.0,0.0,events/second
1781368711,0,0.0,0.0,0.0,0.0,events/second
1781368741,0,0.0,0.0,0.0,0.0,events/second
1781368771,0,0.0,0.0,0.0,0.0,events/second
1781368801,0,0.0,0.0,0.0,0.0,events/second
1781368831,0,0.0,0.0,0.0,0.0,events/second
1781368861,0,0.0,0.0,0.0,0.0,events/second
1781368891,0,0.0,0.0,0.0,0.0,events/second
1781368921,0,0.0,0.0,0.0,0.0,events/second
1781368951,0,0.0,0.0,0.0,0.0,events/second
1781368981,0,0.0,0.0,0.0,0.0,events/second
1781369011,0,0.0,0.0,0.0,0.0,events/second
1781369041,0,0.0,0.0,0.0,0.0,events/second
1781369071,0,0.0,0.0,0.0,0.0,events/second
1781369101,0,0.0,0.0,0.0,0.0,events/second
1781369131,0,0.0,0.0,0.0,0.0,events/second
1781369161,0,0.0,0.0,0.0,0.0,events/second
1781369191,0,0.0,0.0,0.0,0.0,events/second
1781369221,0,0.0,0.0,0.0,0.0,events/second
1781369251,0,0.0,0.0,0.0,0.0,events/second
1781369281,0,0.0,0.0,0.0,0.0,events/second
1781369311,0,0.0,0.0,0.0,0.0,events/second
1781369341,0,0.0,0.0,0.0,0.0,events/second
1781369371,0,0.0,0.0,0.0,0.0,events/second
1781369401,0,0.0,0.0,0.0,0.0,events/second
1781369431,1,4.343174887874088E-4,0.015991117074135343,0.0033057092356765017,0.0011080303990206543,events/second
1781369461,1,4.287296030851127E-4,0.009699102788517266,0.0029911294095871514,0.0010717048417562779,events/second
1781369491,1,4.2328288054280564E-4,0.005882803212940021,0.0027064858119822616,0.0010365701779111922,events/second
1781369521,1,4.1797233551004543E-4,0.003568100513704112,0.0024489296340649874,0.0010025873653552021,events/second
1781371260,46,1.7043216844341769,1.2271409850542374,1.0644309886782075,1.0227012394481396,events/second
1781371290,46,0.8056447859211514,0.7442986312253577,0.9631369874730531,0.9891731047771436,events/second
1781371320,46,0.5280081092311864,0.4514399398203263,0.8714823849600497,0.9567441531042273,events/second
1781371350,46,0.39266708960781976,0.27381216451985413,0.7885498710710716,0.9253783489244297,events/second
1781371380,46,0.31259436548588254,0.1660754727835713,0.7135094293325372,0.895040838117164,events/second
1781371410,46,0.2596326954245492,0.10072986606950701,0.645610029781564,0.8656979092158295,events/second
1781371440,64,0.30889557535834894,0.26734220146394705,0.6398373658539295,0.856823179272868,events/second
1781371470,64,0.2697856727684694,0.16215124182295557,0.5789487900821992,0.828733174258898,events/second
1781371500,68,0.25441618608945676,0.09834969967610004,0.5238545283930199,0.8015640691467659,events/second
1781371530,86,0.28927018978410357,0.3454714751664857,0.5437208097049272,0.7993205422543953,events/second
1781371560,86,0.2627474595673745,0.20953904174462526,0.4919789335858277,0.7731156979144586,events/second
1781371590,86,0.24067537425749017,0.12709185322492067,0.44516094799388517,0.7477699505582469,events/second
1781371620,86,0.2220258567600304,0.07708510558061232,0.40279828279322716,0.7232551356365697,events/second
1781371650,86,0.20605942657877177,0.04675447994182681,0.36446695819194197,0.6995440119439872,events/second
1781371680,90,0.20117230901004754,0.08720817735460464,0.34278762408150615,0.6810177983167807,events/second
1781371710,108,0.22623361575647352,0.05289443334322471,0.3101670687085912,0.6586913792467977,events/second
1781371740,144,0.28379927454212495,0.715924545985389,0.4505639770366101,0.6959458336479143,events/second
1781371770,145,0.26980514837230873,0.4466840816805089,0.41083163353563884,0.6742197316350377,events/second
1781371800,145,0.25552993495334303,0.270927590744811,0.3717358345358831,0.6521161797000657,events/second
1781371830,145,0.24268954993016262,0.1643258903488046,0.3363604927128911,0.6307372683907204,events/second
1781371860,145,0.2310793315090401,0.09966869068112637,0.30435155975563555,0.6100592411615449,events/second
1781371890,145,0.22052619265413143,0.06045211671151799,0.27538867950450635,0.590059120299281,events/second
1781371920,146,0.2123527038904621,0.050202250593903965,0.2523793169154483,0.5718104684841743,events/second
1781371950,149,0.20765230756933892,0.074586818015005,0.23811546148722043,0.5563699667686366,events/second
1781371980,152,0.20332681559237967,0.08594181274761392,0.22504867312453747,0.541417384787323,events/second
1781372010,152,0.19547771322993945,0.0521263443827099,0.20363246032242513,0.5236676116471602,events/second
1781372040,153,0.18945261327914661,0.04407012054637609,0.18739875752027238,0.5075894615534952,events/second
1781372070,261,0.3116041404094761,1.300055878647616,0.5054279858683237,0.6082033785788861,events/second
1781372100,261,0.3008207644912486,0.7885237497394262,0.4573301537362095,0.5882641001290512,events/second
1781372130,265,0.29521581476529385,0.5397733697147816,0.42692389839994815,0.5733983872719001,events/second
1781372160,275,0.29644276369518163,0.46185679924168,0.4182189989246497,0.565552019918703,events/second
1781372190,279,0.291327921197544,0.2801303091368216,0.37842019916056374,0.5470110193254895,events/second
1781372220,313,0.31689518209422346,0.6442773800725048,0.4567103345495909,0.568430718618502,events/second
1781372250,329,0.3232711640636868,0.6016680749656099,0.4691286787685046,0.5693259834781941,events/second
