t,value
1781367150,0
1781367180,0
1781367210,0
1781367240,0
1781367270,0
1781367300,0
1781367330,0
1781367360,0
1781367390,0
1781367420,0
1781367450,0
1781367480,0
1781367510,0
1781367540,0
1781367570,0
1781367600,0
1781367630,0
1781367660,0
1781367690,0
1781367720,0
1781367750,0
1781367780,0
1781367810,0
1781367840,0
1781367870,0
1781367900,0
1781367930,0
1781367960,0
1781367990,0
1781368020,0
1781368050,0
1781368080,0
1781368110,0
1781368140,0
1781368170,0
1781368200,0
1781368230,0
1781368260,0
1781368290,0
1781368320,0
1781368350,0
1781368380,0
1781368410,0
1781368440,0
1781368470,0
1781368500,0
1781368530,0
1781368560,0
1781368590,0
1781368621,0
1781368651,0
1781368681,0
1781368711,0
1781368741,0
1781368771,0
1781368801,0
1781368831,0
1781368861,0
1781368891,0
1781368921,0
1781368951,0
1781368981,0
1781369011,0
1781369041,0
1781369071,0
1781369101,0
1781369131,0
1781369161,0
1781369191,0
1781369221,0
1781369251,0
1781369281,0
1781369311,0
1781369341,0
1781369371,0
1781369401,0
1781369431,1
1781369461,1
1781369491,1
1781369521,1
1781371260,14
1781371290,14
1781371320,14
1781371350,14
1781371380,14
1781371410,14
1781371440,21
1781371470,21
1781371500,21
1781371530,22
1781371560,22
1781371590,22
1781371620,22
1781371650,22
1781371680,22
1781371710,22
1781371740,25
1781371770,25
1781371800,25
1781371830,25
1781371860,25
1781371890,25
1781371920,25
1781371950,28
1781371980,28
1781372010,28
1781372040,28
1781372070,31
1781372100,31
1781372130,31
1781372160,31
1781372190,31
1781372220,33
1781372250,34
1781372280,34
1781372580,6
1781372611,6
1781372641,14
1781372671,14
1781372701,14
1781372731,15
1781372761,16
1781372791,19
1781372821,19
1781372851,21
1781372881,21
1781373780,5
1781373810,5
1781373840,6
1781373870,6
1781373900,13
1781373930,14
1781373960,15
1781373990,18
1781374020,19
1781374050,22
1781374080,24
1781374110,24
1781374200,13
1781379210,0
1781379240,10
1781379270,10
1781379300,11
1781379330,11
1781379360,11
1781381160,5
1781381191,5
1781381221,11
1781381251,11
1781381281,13
1781381311,14
1781381341,14
1781381371,14
1781381401,14
1781381431,14
1781381461,14
1781381491,14
1781381521,14
1781381551,14
1781381581,14
1781381611,14
1781381641,14
1781381671,16
1781381701,16
1781381731,18
1781381761,18
1781381791,18
1781381821,18
1781381851,18
1781381882,18
1781381912,18
1781381942,18
1781381972,18
1781382002,18
1781382032,18
1781382062,18
1781382092,18
1781382122,18
1781382152,18
1781382182,18
1781382510,5
1781382541,5
1781382571,10
1781382601,10
1781382631,10
1781382661,10
1781382691,10
1781382721,11
1781382751,12
1781382781,12
1781382811,12
1781382841,12
1781382871,12
1781382901,12
1781382931,12
1781382961,12
1781382991,12
1781383021,12
1781383051,12
1781383081,12
1781383111,12
1781383141,12
1781383171,12
1781383201,12
1781383231,12
1781383261,12
1781383291,12
1781383321,12
1781383351,12
1781383381,12
1781383411,12
1781383441,12
1781383471,13
1781383501,13
1781398740,0
1781398772,6
1781398802,13
1781398832,13
1781398862,13
1781398892,13
1781398922,14
1781398952,14
1781398982,14
1781399012,14
1781399042,14
1781399072,14
1781399102,14
1781399132,14
1781399162,14
1781399192,14
1781399222,14
1781399252,14
1781399282,14
1781399312,14
1781399342,14
1781399372,14
1781399670,5
1781399702,14
1781399732,14
1781399762,14
1781399792,14
1781399822,14
1781399852,20
1781399882,20
1781399912,20
1781399942,22
1781399972,26
1781400002,26
1781400032,26
1781400062,26
1781400092,26
1781400122,26
1781400152,26
1781400182,26
1781400212,26
1781400242,26
1781400272,26
1781400302,26
1781400332,26
1781400362,26
1781400392,26
1781400422,26
1781400452,26
1781400482,26
1781400512,26
1781400542,26
1781400572,26
1781400602,26
1781400632,26
1781400662,26
1781400693,26
1781400723,26
1781400753,26
1781400783,26
1781400813,26
1781400843,26
1781400873,26
1781400903,26
1781400933,26
1781400963,26
1781400993,26
1781401023,26
1781401053,26
1781401083,26
1781401113,26
1781401143,26
1781401173,26
1781401203,26
1781401233,26
1781401263,26
1781401293,26
1781401323,26
1781401353,26
1781401383,26
1781401413,26
1781401443,26
1781401473,26
1781401503,26
1781401533,26
1781401563,26
1781401593,26
1781401623,26
1781401653,26
1781401683,26
1781401713,26
1781401743,26
1781401773,26
1781401803,26
1781401833,26
1781401863,26
1781401893,26
1781401923,26
1781401953,26
1781401983,26
1781402013,26
1781402043,26
1781402073,26
1781402103,26
1781402133,26
1781402163,26
1781402193,26
1781402223,26
1781402253,26
1781402283,26
1781402313,26
1781402343,26
1781402373,26
1781402403,26
1781402433,26
1781402463,26
1781402493,26
1781402523,26
1781402700,13
1781402732,15
1781402762,19
1781402792,24
1781402822,26
1781402852,26
1781402882,26
1781402913,26
1781402943,26
1781402973,26
1781403003,26
1781403033,27
1781403063,27
1781403093,27
1781403123,30
1781403153,30
1781403183,30
1781403213,30
1781403243,30
1781403273,30
1781403303,30
1781403333,35
1781403363,35
1781403393,35
1781403423,37
1781403453,37
1781403483,37
1781403513,37
1781403543,37
1781403573,37
1781403603,37
1781403633,37
1781403663,37
1781403693,37
1781403723,37
1781403753,37
1781403783,37
1781444820,6
1781444851,13
1781444881,14
1781444911,20
1781444941,20
1781444971,20
1781445001,20
1781445031,20
1781445061,20
1781445091,20
1781445121,20
1781445152,20
